accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,state
0.2657564,3.1890767,9.208399,0.104610674,0.017104227,0.03023783,STAND
0.06703765,3.5170822,8.66731,0.104610674,0.017104227,0.03023783,STAND
0.06703765,3.5170822,8.66731,-0.049938235,0.08124508,-0.061391957,STAND
0.25857377,3.2920272,9.543588,-0.049938235,0.08124508,-0.061391957,STAND
0.25857377,3.2920272,9.543588,-0.107359566,-0.11362094,-0.0888809,STAND
-0.12449849,3.4763808,8.887576,-0.107359566,-0.11362094,-0.0888809,STAND
-0.12449849,3.4763808,8.887576,-0.04444045,0.1160644,-0.17989981,STAND
-0.30885202,3.3782187,9.285013,-0.04444045,0.1160644,-0.17989981,STAND
-0.30885202,3.3782187,9.285013,-0.045662176,-0.103847094,-0.14263703,STAND
-0.19153613,3.0334535,9.648932,-0.045662176,-0.103847094,-0.14263703,STAND
-0.19153613,3.0334535,9.648932,-0.021227567,-0.04886922,-0.004581489,STAND
0.011971008,3.0382419,8.911518,-0.021227567,-0.04886922,-0.004581489,STAND
0.011971008,3.0382419,8.911518,0.11255192,-0.06780604,0.082161374,STAND
0.011971008,3.0382419,8.911518,-0.024281893,0.08735373,0.08460484,STAND
-0.23223756,3.3542767,9.1629095,-0.024281893,0.08735373,0.08460484,STAND
-0.21308395,3.1914709,9.179668,-0.024281893,0.08735373,0.08460484,STAND
-0.21308395,3.1914709,9.179668,0.06429356,0.096516706,0.1695151,STAND
-0.4333505,3.157952,8.8444805,0.06429356,0.096516706,0.1695151,STAND
-0.4333505,3.157952,8.8444805,0.082619525,-0.005497787,0.15241088,STAND
-0.5602432,3.2345665,9.644144,0.082619525,-0.005497787,0.15241088,STAND
-0.5602432,3.2345665,9.644144,-0.082924955,0.10140363,0.15851954,STAND
-1.2880806,2.5498247,9.522039,-0.082924955,0.10140363,0.15851954,UNKNOWN
-1.2880806,2.5498247,9.522039,-0.1330159,0.043982297,0.40103304,UNKNOWN
-1.4341269,2.861071,10.407894,-0.1330159,0.043982297,0.40103304,WALK
-1.4341269,2.861071,10.407894,0.10338894,0.66889745,0.8885035,WALK
-0.7469909,2.7820623,9.988909,0.10338894,0.66889745,0.8885035,WALK
-0.7469909,2.7820623,9.988909,-0.12629639,-0.089186326,0.9117164,WALK
-0.48362875,3.0765493,8.743924,-0.12629639,-0.089186326,0.9117164,WALK
-0.48362875,3.0765493,8.743924,0.105832405,0.5589417,0.7254025,WALK
0.40222588,3.5170822,9.131784,0.105832405,0.5589417,0.7254025,WALK
0.40222588,3.5170822,9.131784,-0.07498371,0.46853364,0.7266242,WALK
-0.36631286,3.4691982,8.020875,-0.07498371,0.46853364,0.7266242,WALK
-0.36631286,3.4691982,8.020875,0.09789115,0.26511553,0.7498371,WALK
0.58657944,4.5441947,8.911518,0.09789115,0.26511553,0.7498371,WALK
0.58657944,4.5441947,8.911518,0.022143865,0.29993483,0.29718593,WALK
0.58657944,4.5441947,8.911518,-0.15439619,-0.052534413,-0.23304509,WALK
1.0845734,0.9504981,8.760683,-0.15439619,-0.052534413,-0.23304509,WALK
